Scheme,AUROC
nll_proportional,0.6883566503022219
nll_squared_negate_end,0.6842702687363433
nll_cubic_negate_end,0.6802690201197538
nll_sqrt,0.6764380374017424
nll_cubic,0.675586707908851
nll_quartic,0.6744232242685662
nll_quintic,0.6743380913192771
first_k,0.6657112857913108
quadratic_decreasing,0.6624762337183234
exponential_decreasing,0.6615681489259061
surprisal,0.6593263145946252
nll_cubic_middle_focus,0.6584182298022077
nll_squared_middle_focus,0.6537926728908312
linear_decreasing,0.6529697210477028
first_last_k,0.6450239791140497
unweight_end,0.6422145917875082
only_beginning,0.6397457362581231
high_uncertainty_only,0.6389511620647578
negate_last_20pct,0.6333607650614377
negate_last_5,0.6272028150628566
edges_peak,0.6236839864922388
negate_last_3,0.6191719401799143
uniform,0.6155679786600075
gaussian_middle,0.6047277164505236
low_uncertainty_only,0.601322398478958
unweight_middle,0.6005278242855927
negate_first_3,0.5922415505547831
middle_peak,0.5920996623059679
only_middle,0.5868497970998042
recency_bias,0.5854025369618888
negate_first_20pct,0.5844660745197083
last_k,0.5817701977922188
confidence_proportional,0.5741649876557223
unweight_beginning,0.5702772496381849
linear_increasing,0.5612815346632991
exponential_increasing,0.5479440392746673
quadratic_increasing,0.5411901586310622
only_end,0.5029938420500015
