Scheme,AUROC
nll_cubic_negate_end,0.6495456934745063
nll_squared_negate_end,0.6464669219794248
nll_quintic,0.6459412780656305
nll_cubic_middle_focus,0.6435133037971514
nll_quartic,0.641410728141974
nll_cubic,0.6374058221321119
nll_squared_middle_focus,0.6311982178168256
nll_proportional,0.6311731871542641
nll_sqrt,0.6025130785211885
surprisal,0.5752296563290031
first_last_k,0.5721508848339216
high_uncertainty_only,0.5684964080999224
quadratic_decreasing,0.5599859828289655
unweight_end,0.5585592350629521
exponential_decreasing,0.5581086831368427
first_k,0.5572576406097469
linear_decreasing,0.5541538384521039
edges_peak,0.5462191184200645
negate_first_3,0.5454431678806538
negate_last_20pct,0.5450426772796676
uniform,0.5400615754299016
only_beginning,0.5397111461540387
unweight_middle,0.5368826812845736
last_k,0.5364321293584641
gaussian_middle,0.5347550749668344
only_middle,0.5337788791269305
middle_peak,0.5317263647968761
negate_last_3,0.5293985131786438
negate_first_20pct,0.5264699256589322
low_uncertainty_only,0.5264448949963705
negate_last_5,0.5251683312057269
linear_increasing,0.5208880879076869
exponential_increasing,0.5127280919125929
unweight_beginning,0.511751896072689
quadratic_increasing,0.5088483392155391
confidence_proportional,0.5048184025431153
recency_bias,0.5027408575504994
only_end,0.48524442441991433
