Scheme,AUROC
only_middle,0.6244954445853996
middle_peak,0.6209203090762311
nll_cubic_middle_focus,0.6171145196632453
unweight_end,0.5998154768769461
negate_last_3,0.5997001499250375
nll_squared_middle_focus,0.5985468804059509
negate_last_20pct,0.5892053973013494
negate_last_5,0.5853996078883635
gaussian_middle,0.574674201360858
linear_decreasing,0.5721370084188675
only_beginning,0.5700611232845116
exponential_decreasing,0.5644101026409872
quadratic_decreasing,0.5619882366509052
confidence_proportional,0.5461884442394187
negate_first_3,0.5389228462691731
nll_squared_negate_end,0.5315419213470188
negate_first_20pct,0.5242763233767732
low_uncertainty_only,0.5210471687233307
uniform,0.5166647445508015
nll_cubic_negate_end,0.5083612040133779
unweight_beginning,0.5074385883981086
high_uncertainty_only,0.5073232614462
nll_quintic,0.4964825279667858
nll_quartic,0.4948679506400646
recency_bias,0.49406066197670395
first_k,0.49083150732326153
linear_increasing,0.49060085341944415
nll_cubic,0.4889862760927229
unweight_middle,0.4744550801522316
exponential_increasing,0.4693806942682505
quadratic_increasing,0.4674201360858033
surprisal,0.46199976934609616
edges_peak,0.45542613308730256
only_end,0.4448160535117056
last_k,0.4318994348979357
nll_proportional,0.4165609502940838
first_last_k,0.4126398339291893
nll_sqrt,0.3993772344596932
